
Note that: Step Size was 9, the matrix was totally asymmetric

L = 120, saturation time = 25000, saturation value = 1.3403790276142526
L = 129, saturation time = 22000, saturation value = 1.393790878435616
L = 138, saturation time = 26000, saturation value = 1.5217023500638527
L = 147, saturation time = 29000, saturation value = 1.6380444110196821
L = 156, saturation time = 32000, saturation value = 1.7225473984869475
L = 165, saturation time = 29000, saturation value = 1.7722306166276252
L = 174, saturation time = 35000, saturation value = 1.8788363557408638
L = 183, saturation time = 36000, saturation value = 1.986498256259262
L = 192, saturation time = 59000, saturation value = 2.1388081872958273
L = 201, saturation time = 40000, saturation value = 2.2483915532544896
L = 210, saturation time = 42000, saturation value = 2.3487063044803658
L = 219, saturation time = 83000, saturation value = 2.4526478806405767
L = 228, saturation time = 59000, saturation value = 2.487739152265926
L = 237, saturation time = 59000, saturation value = 2.6382092323126036
L = 246, saturation time = 79000, saturation value = 2.6149016776765412
L = 255, saturation time = 105000, saturation value = 2.807983809538452
L = 264, saturation time = 111000, saturation value = 2.960842130582833
L = 273, saturation time = 84000, saturation value = 2.949851462468056
L = 282, saturation time = 87000, saturation value = 3.090900649983523
L = 291, saturation time = 77000, saturation value = 3.034691538563757
L = 300, saturation time = 109000, saturation value = 3.2591720312442183
L = 309, saturation time = 117000, saturation value = 3.445765620468352
L = 318, saturation time = 224000, saturation value = 3.488653269181062
L = 327, saturation time = 214000, saturation value = 3.536013063992585
L = 336, saturation time = 144000, saturation value = 3.628110996724561
L = 345, saturation time = 175000, saturation value = 3.689662097059913
L = 354, saturation time = 184000, saturation value = 3.8932121552971317
L = 363, saturation time = 181000, saturation value = 3.9322786708459425
L = 372, saturation time = 148000, saturation value = 3.7830887411299026
L = 381, saturation time = 223000, saturation value = 3.992642510301903
L = 390, saturation time = 217000, saturation value = 4.273420377684318
L = 399, saturation time = 259000, saturation value = 4.316222093444928
L = 408, saturation time = 230000, saturation value = 4.38027476896317
L = 417, saturation time = 205000, saturation value = 4.360932778975154
L = 426, saturation time = 395000, saturation value = 4.684116798869651
L = 435, saturation time = 366000, saturation value = 4.717969365984054
L = 444, saturation time = 218000, saturation value = 4.70985763436459
L = 453, saturation time = 359000, saturation value = 4.82320009656326
L = 462, saturation time = 292000, saturation value = 4.755982794917158
L = 471, saturation time = 392000, saturation value = 5.199939964579872
L = 480, saturation time = 350000, saturation value = 5.276476183627077
L = 489, saturation time = 330000, saturation value = 5.071320861834958
L = 498, saturation time = 412000, saturation value = 5.572183622216139
L = 507, saturation time = 354000, saturation value = 5.436433866542137
L = 516, saturation time = 349000, saturation value = 5.292926132201111
L = 525, saturation time = 463000, saturation value = 5.676523803372333
L = 534, saturation time = 368000, saturation value = 5.652543516631893
L = 543, saturation time = 521000, saturation value = 5.832098969641315
L = 552, saturation time = 460000, saturation value = 5.751447164568042
L = 561, saturation time = 444000, saturation value = 5.83391049030939
L = 570, saturation time = 455000, saturation value = 5.965273935304792
L = 579, saturation time = 479000, saturation value = 5.950160634234067
L = 588, saturation time = 337000, saturation value = 6.066293585161385
L = 597, saturation time = 462000, saturation value = 5.980414846439803
